WigleWifi-1.4,appRelease=1.43,model=MB525,release=2.2.2,device=umts_jordan,display=JOREM_U3_3.4.2_177-3,board=jordan,brand=MOTO
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
88:25:2c:32:f3:ae,WLAN-32F349,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2011-09-16 17:23:00,6,-87,49.42767,11.0649378,0,1071,WIFI
00:08:54:af:02:c6,Mamani,[WPA-PSK-TKIP],2011-09-16 17:23:00,1,-96,49.42767,11.0649378,0,1071,WIFI
00:23:08:a8:91:8d,EasyBox-A89131,[WPA-PSK-TKIP][WPS],2011-09-16 17:23:00,11,-99,49.42767,11.0649378,0,1071,WIFI
00:a0:f9:18:86:33,0816,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2011-09-16 17:23:00,6,-100,49.42767,11.0649378,0,1071,WIFI
14:d6:4d:ff:79:94,dlink,[WPS][WEP],2011-09-16 17:23:00,3,-96,49.42767,11.0649378,0,1071,WIFI
00:14:a8:8c:ef:e0,Telekom,,2011-09-16 17:23:00,1,-83,49.42767,11.0649378,0,1071,WIFI
00:16:9d:f4:dd:d0,Telekom,,2011-09-16 17:23:00,11,-87,49.42767,11.0649378,0,1071,WIFI
26202_955_236865389,Vodafone.de,HSPA;de,2011-09-16 17:23:00,0,-79,49.42767,11.0649378,0,1071,GSM
88:25:2c:32:f3:ae,WLAN-32F349,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2011-09-16 17:23:29,6,-87,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:1d:19:fb:40:70,Arcor-FB4016,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth],2011-09-16 17:23:29,9,-91,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:1d:19:66:0c:1a,Arcor-660C08,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth],2011-09-16 17:23:29,9,-92,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:23:08:c9:eb:83,EasyBox-C9EB61,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth][WPS],2011-09-16 17:23:29,1,-94,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:1f:3f:86:d7:79,WLAN-001F3F86D779,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS],2011-09-16 17:23:29,1,-95,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:08:54:af:02:c6,Mamani,[WPA-PSK-TKIP],2011-09-16 17:23:29,1,-96,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:23:08:fe:89:a0,EasyBox-FE8932,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth][WPS],2011-09-16 17:23:29,1,-96,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:23:08:ec:4d:04,EasyBox-EC4D16,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth][WPS],2011-09-16 17:23:29,1,-98,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:23:08:a8:91:8d,EasyBox-A89131,[WPA-PSK-TKIP][WPS],2011-09-16 17:23:29,11,-99,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:1c:4a:4c:89:4d,ferdek,[WPA-PSK-TKIP][WPA2-PSK-CCMP],2011-09-16 17:23:29,11,-99,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:a0:f9:18:86:33,0816,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP],2011-09-16 17:23:29,6,-100,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:24:fe:43:b8:17,sv-001F3FD7E7,[WEP],2011-09-16 17:23:29,2,-92,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
14:d6:4d:ff:79:94,dlink,[WPS][WEP],2011-09-16 17:23:29,3,-96,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
26202_955_236865389,Vodafone.de,HSPA;de,2011-09-16 17:23:29,0,-81,49.426127672194,11.0652494430539,366,4.64099979400635,GSM
00:26:4d:14:ea:29,EasyBox-14EA55,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth][WPS],2011-09-16 17:23:32,1,-99,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
00:23:08:c8:57:01,WLAN-C85777,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP][WPS],2011-09-16 17:23:32,1,-99,49.426127672194,11.0652494430539,366,4.64099979400635,WIFI
c0:25:06:0e:bd:f8,FRITZ!Box Fon WLAN 7112,[WPA-PSK-TKIP][WPA2-PSK-CCMP],2011-09-16 17:23:53,11,-85,49.4260847568498,11.0652494430539,365,4.64099979400635,WIFI
00:23:08:4e:5e:68,EasyBox-4E5E28,[WPA-PSK-TKIP+CCMP][WPA2-PSK-TKIP+CCMP-preauth][WPS],2011-09-16 17:23:53,1,-90,49.4260847568498,11.0652494430539,365,4.64099979400635,WIFI
